Filename,Full,Partial,CompilationTime(ms),FullRealizabilityTime(ms),PartialRealizabilityTime(ms),RealizabilityTotalTime,SynthesisTime(ms),formulaZDDSize(nodes),CompPeakNode(nodes)?,CompPeakMemory(bytes)???,RealPeakNode(nodes)?,RealPeakMemory(bytes)???,SynthPeakNode(nodes)????,SynthPeakMemory(bytes)
mutex-2-s.qdimacs,YES,YES,28.7226,4.8765,4.96957,4.98814,5354.09,238,12264,1.33E+07,18396,1.35E+07,345436,8.50E+07
mutex-4-s.qdimacs,YES,YES,33.6255,55.6893,55.8864,55.9051,260324,658,28616,2.42E+07,77672,2.58E+07,1.63E+06,1.30E+08
mutex-8-s.qdimacs,YES,YES,64.6022,440.453,440.928,440.95,7.01E+06,1498,73584,2.98E+07,263676,8.65E+07,3.18E+06,1.89E+08
qshifter_3.qdimacs,YES,YES,18.003,0.27517,0.388645,0.403767,0.794461,160,3066,1.07E+07,3066,1.07E+07,5110,1.08E+07
qshifter_4.qdimacs,YES,YES,68.6956,1.38093,1.56802,1.58246,7.11336,576,15330,1.11E+07,19418,1.13E+07,37814,1.20E+07
qshifter_5.qdimacs,YES,YES,87.0622,9.56132,9.95181,9.96878,126.039,2176,57232,1.27E+07,57232,1.27E+07,249368,2.80E+07
qshifter_6.qdimacs,YES,YES,348.395,116.758,117.443,117.468,2147.82,8448,206444,1.80E+07,441504,3.47E+07,1.79E+06,1.32E+08
qshifter_7.qdimacs,YES,YES,2214.56,1339.37,1340.8,1340.87,42733.5,33280,826798,4.85E+07,2.80E+06,1.68E+08,4.19E+06,2.17E+08
qshifter_8.qdimacs,YES,YES,15952,13509.6,13512.6,13512.9,995322,132096,3.37E+06,1.89E+08,1.45E+07,5.80E+08,1.92E+07,7.42E+08
stmt1_145_146.qdimacs,YES,YES,18.4282,10.5861,10.7253,10.7406,771.534,422,28616,1.18E+07,47012,1.24E+07,94024,1.44E+07
stmt1_20_21.qdimacs,YES,YES,12.6549,4.50287,4.59805,4.61168,271.061,320,16352,1.13E+07,26572,1.17E+07,53144,1.28E+07
stmt1_811_812.qdimacs,YES,YES,53.3835,2776.06,2776.46,2776.49,44396,1366,192136,1.79E+07,319886,4.81E+07,553924,5.72E+07
stmt1_919_920.qdimacs,YES,YES,204.627,1.79E+06,1.79E+06,1.79E+06,1.50E+06,3269,702114,3.59E+07,2.21E+06,1.55E+08,2.21E+06,1.59E+08
stmt11_643_645.qdimacs,YES,YES,146.783,11276.9,11277.6,11277.6,876534,2762,437416,2.70E+07,855414,1.03E+08,1.31E+06,1.21E+08
stmt137_903_911.qdimacs,YES,YES,246.122,1.91E+06,1.91E+06,1.91E+06,1.91E+06,3440,736862,3.72E+07,2.62E+06,1.68E+08,2.62E+06,1.72E+08
stmt16_0_1.qdimacs,YES,YES,18.5119,20192.2,20192.5,20192.5,4216.38,782,75628,1.35E+07,1.12E+06,5.99E+07,1.12E+06,1.11E+08
stmt18_258_260.qdimacs,YES,YES,107.627,314752,314753,314753,520734,2330,408800,2.57E+07,3.42E+06,1.94E+08,3.42E+06,1.97E+08
stmt2_480_551.qdimacs,YES,YES,284.782,2.99E+06,2.99E+06,2.99E+06,2.59E+06,3585,718466,3.67E+07,3.27E+06,1.97E+08,3.47E+06,2.07E+08
stmt2_649_647.qdimacs,YES,YES,164.744,186694,186695,186695,713894,2645,416976,2.62E+07,1.22E+06,1.17E+08,1.27E+06,1.21E+08
stmt2_649_723.qdimacs,YES,YES,159.63,67877.6,67878.6,67878.6,785377,2733,438438,2.70E+07,1.19E+06,1.16E+08,1.44E+06,1.27E+08
stmt2_649_776.qdimacs,YES,YES,221.816,18921.2,18922.5,18922.5,1.43E+06,3281,681674,3.53E+07,2.17E+06,1.49E+08,2.17E+06,1.53E+08
