Filename	Full	Partial	CompilationTime(ms)	FullRealizabilityTime(ms)	PartialRealizabilityTime(ms)	RealizabilityTime(ms)	SynthesisTime(ms)	ZDDFormulaSize(nodes)	PeakNodeCount(nodes)	PeakMemoryInUse:(bytes) 
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/qshifter_3.qdimacs	YES	YES	8.00059 ms	0.25365 ms	0.363753 ms	0.374884 ms	0.718725 ms	160 nodes	4088 nodes	1.07809e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/qshifter_4.qdimacs	YES	YES	20.2193 ms	1.34074 ms	1.52703 ms	1.53811 ms	4.84389 ms	576 nodes	22484 nodes	1.15169e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/qshifter_5.qdimacs	YES	YES	78.0365 ms	9.51242 ms	9.92212 ms	9.93546 ms	58.6113 ms	2176 nodes	68474 nodes	1.33487e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt24_7_8.qdimacs	YES	YES	6.45465 ms	0.281305 ms	0.336856 ms	0.348176 ms	1.32524 ms	64 nodes	3066 nodes	1.07269e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt44_107_108.qdimacs	YES	YES	7.53169 ms	1.19255 ms	1.2489 ms	1.25947 ms	36.3991 ms	170 nodes	15330 nodes	1.13495e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_20_21.qdimacs	YES	YES	20.702 ms	4.53884 ms	4.63814 ms	4.64949 ms	244.286 ms	320 nodes	50078 nodes	1.27349e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt24_148_149.qdimacs	YES	YES	26.7069 ms	7.2535 ms	7.39093 ms	7.40368 ms	349.913 ms	343 nodes	63364 nodes	1.32306e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_145_146.qdimacs	YES	YES	14.3633 ms	10.8529 ms	10.9945 ms	11.0072 ms	795.407 ms	422 nodes	94024 nodes	1.43741e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/qshifter_6.qdimacs	YES	YES	377.453 ms	118.35 ms	119.051 ms	119.067 ms	831.623 ms	8448 nodes	484428 nodes	5.34604e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/mutex-2-s.qdimacs	YES	YES	12.12 ms	4.81913 ms	4.91186 ms	4.92434 ms	4934.57 ms	238 nodes	343392 nodes	8.49617e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/qshifter_7.qdimacs	YES	YES	2154.06 ms	1382.05 ms	1383.58 ms	1383.6 ms	13639.5 ms	33280 nodes	2.96482e+06 nodes	1.74682e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt16_0_1.qdimacs	YES	YES	20.5061 ms	20468.4 ms	20468.7 ms	20468.7 ms	3625.78 ms	782 nodes	1.11296e+06 nodes	1.10872e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_811_812.qdimacs	YES	YES	48.7023 ms	2743.4 ms	2743.79 ms	2743.81 ms	34818.1 ms	1366 nodes	472164 nodes	5.42663e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/mutex-4-s.qdimacs	YES	YES	30.7588 ms	59.2296 ms	59.4391 ms	59.454 ms	193816 ms	658 nodes	1.60045e+06 nodes	1.29485e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/qshifter_8.qdimacs	YES	YES	15664 ms	13386 ms	13389.2 ms	13389.2 ms	289630 ms	132096 nodes	1.45226e+07 nodes	5.82227e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt70_191_213.qdimacs	YES	YES	101.126 ms	7015.76 ms	7016.23 ms	7016.25 ms	392620 ms	2226 nodes	1.39605e+06 nodes	1.21226e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt3_639_640.qdimacs	YES	YES	81.5686 ms	158058 ms	158059 ms	158059 ms	266823 ms	2026 nodes	1.59739e+06 nodes	1.30616e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt24_292_293.qdimacs	YES	YES	127.33 ms	16949 ms	16949.6 ms	16949.6 ms	496396 ms	2410 nodes	1.36437e+06 nodes	1.22124e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt27_296_297.qdimacs	YES	YES	136.084 ms	49159.1 ms	49159.8 ms	49159.8 ms	640572 ms	2490 nodes	1.50643e+06 nodes	1.2737e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt18_258_260.qdimacs	YES	YES	119.766 ms	274697 ms	274698 ms	274698 ms	458035 ms	2330 nodes	3.42166e+06 nodes	1.96652e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_649_723.qdimacs	YES	YES	145.504 ms	65322.8 ms	65323.7 ms	65323.8 ms	754058 ms	2733 nodes	1.44e+06 nodes	1.2635e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt11_643_645.qdimacs	YES	YES	154.279 ms	11340 ms	11340.7 ms	11340.7 ms	820380 ms	2762 nodes	1.29692e+06 nodes	1.2028e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_649_647.qdimacs	YES	YES	139.52 ms	198704 ms	198705 ms	198705 ms	715432 ms	2645 nodes	1.26421e+06 nodes	1.20855e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_649_776.qdimacs	YES	YES	228.696 ms	18809.9 ms	18811.3 ms	18811.3 ms	1.33611e+06 ms	3281 nodes	2.16971e+06 nodes	1.52545e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt72_696_721.qdimacs	YES	YES	241.526 ms	49925.9 ms	49926.9 ms	49926.9 ms	1.59915e+06 ms	3352 nodes	1.90603e+06 nodes	1.43114e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt70_854_859.qdimacs	YES	YES	214.291 ms	1.82236e+06 ms	1.82236e+06 ms	1.82236e+06 ms	1.36758e+06 ms	3264 nodes	2.16868e+06 nodes	1.5653e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt27_946_955.qdimacs	YES	YES	274.895 ms	229712 ms	229713 ms	229713 ms	2.98125e+06 ms	3735 nodes	3.75994e+06 nodes	2.1641e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt1_919_920.qdimacs	YES	YES	215.979 ms	1.88647e+06 ms	1.88647e+06 ms	1.88647e+06 ms	1.41322e+06 ms	3269 nodes	2.17379e+06 nodes	1.57764e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt137_903_911.qdimacs	YES	YES	269.242 ms	1.87699e+06 ms	1.87699e+06 ms	1.87699e+06 ms	1.83485e+06 ms	3440 nodes	2.62143e+06 nodes	1.7176e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt44_435_436.qdimacs	YES	YES	153.952 ms	3.14818e+06 ms	3.14819e+06 ms	3.14819e+06 ms	1.00035e+06 ms	2832 nodes	3.30106e+06 nodes	1.9523e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt2_480_551.qdimacs	YES	YES	318.799 ms	2.86806e+06 ms	2.86806e+06 ms	2.86806e+06 ms	2.65694e+06 ms	3585 nodes	3.47276e+06 nodes	2.06863e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/mutex-8-s.qdimacs	YES	YES	70.6247 ms	444.992 ms	445.469 ms	445.486 ms	7.01495e+06 ms	1498 nodes	3.18149e+06 nodes	1.88719e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/tree-exa10-10.qdimacs	YES	YES	4.67259 ms	0.179273 ms	0.274975 ms	0.286039 ms	0.822019 ms	56 nodes	2044 nodes	1.07239e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/tree-exa10-15.qdimacs	YES	YES	12.079 ms	0.25204 ms	0.400318 ms	0.412098 ms	2.28652 ms	86 nodes	4088 nodes	1.08745e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/tree-exa10-20.qdimacs	YES	YES	18.7897 ms	0.351263 ms	0.53259 ms	0.544288 ms	5.27866 ms	116 nodes	7154 nodes	1.10578e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/tree-exa10-25.qdimacs	YES	YES	19.2728 ms	0.352397 ms	0.612293 ms	0.623616 ms	10.6634 ms	146 nodes	11242 nodes	1.12739e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/tree-exa10-30.qdimacs	YES	YES	17.4159 ms	0.525064 ms	0.816259 ms	0.827683 ms	19.0039 ms	176 nodes	15330 nodes	1.149e+07 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt82_224_225.qdimacs	YES	YES	116.836 ms	4505.49 ms	4506.04 ms	4506.06 ms	501963 ms	2402 nodes	1.19063e+06 nodes	1.15282e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt70_495_501.qdimacs	YES	YES	336.417 ms	5.14896e+06 ms	5.14896e+06 ms	5.14896e+06 ms	4.5974e+06 ms	4116 nodes	4.13297e+06 nodes	2.31267e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt44_916_917.qdimacs	YES	YES	208.178 ms	8.48767e+06 ms	8.48767e+06 ms	8.48767e+06 ms	1.47747e+06 ms	3274 nodes	2.85956e+06 nodes	1.80519e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt9_350_351.qdimacs	YES	YES	88.753 ms	2.48117e+06 ms	2.48117e+06 ms	2.48117e+06 ms	325225 ms	2144 nodes	1.83653e+06 nodes	1.40662e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt44_554_555.qdimacs	YES	YES	346.476 ms	7.00749e+06 ms	7.00749e+06 ms	7.00749e+06 ms	4.34783e+06 ms	4126 nodes	6.51832e+06 nodes	3.13472e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt41_738_737.qdimacs	YES	YES	232.292 ms	1.299e+07 ms	1.299e+07 ms	1.299e+07 ms	1.70209e+06 ms	3368 nodes	3.6792e+06 nodes	2.10974e+08 bytes
/home/yl182/zdd/Gitrepo/compilationRealizabilityWitnesses/2QBF2016/2QBF/stmt24_765_766.qdimacs	YES	YES	271.645 ms	1.34645e+07 ms	1.34645e+07 ms	1.34645e+07 ms	1.9234e+06 ms	3448 nodes	3.71701e+06 nodes	2.11784e+08 bytes
